Rank,Symbol,Name,Historical Link,Main Link
1,BTC,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/historical-data/,https://coinmarketcap.com/currencies/bitcoin/
2,ETH,Ethereum,https://coinmarketcap.com/currencies/ethereum/historical-data/,https://coinmarketcap.com/currencies/ethereum/
3,USDT,Tether USDt,https://coinmarketcap.com/currencies/tether/historical-data/,https://coinmarketcap.com/currencies/tether/
4,BNB,BNB,https://coinmarketcap.com/currencies/bnb/historical-data/,https://coinmarketcap.com/currencies/bnb/
5,XRP,XRP,https://coinmarketcap.com/currencies/xrp/historical-data/,https://coinmarketcap.com/currencies/xrp/
6,USDC,USD Coin,https://coinmarketcap.com/currencies/usd-coin/historical-data/,https://coinmarketcap.com/currencies/usd-coin/
7,ADA,Cardano,https://coinmarketcap.com/currencies/cardano/historical-data/,https://coinmarketcap.com/currencies/cardano/
8,DOGE,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/historical-data/,https://coinmarketcap.com/currencies/dogecoin/
9,SOL,Solana,https://coinmarketcap.com/currencies/solana/historical-data/,https://coinmarketcap.com/currencies/solana/
10,TRX,TRON,https://coinmarketcap.com/currencies/tron/historical-data/,https://coinmarketcap.com/currencies/tron/
11,DOT,Polkadot,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,https://coinmarketcap.com/currencies/polkadot-new/
12,DAI,Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,https://coinmarketcap.com/currencies/multi-collateral-dai/
13,MATIC,Polygon,https://coinmarketcap.com/currencies/polygon/historical-data/,https://coinmarketcap.com/currencies/polygon/
14,TON,Toncoin,https://coinmarketcap.com/currencies/toncoin/historical-data/,https://coinmarketcap.com/currencies/toncoin/
15,LTC,Litecoin,https://coinmarketcap.com/currencies/litecoin/historical-data/,https://coinmarketcap.com/currencies/litecoin/
16,SHIB,Shiba Inu,https://coinmarketcap.com/currencies/shiba-inu/historical-data/,https://coinmarketcap.com/currencies/shiba-inu/
17,WBTC,Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/historical-data/,https://coinmarketcap.com/currencies/wrapped-bitcoin/
18,BCH,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/,https://coinmarketcap.com/currencies/bitcoin-cash/
19,LEO,UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/historical-data/,https://coinmarketcap.com/currencies/unus-sed-leo/
20,AVAX,Avalanche,https://coinmarketcap.com/currencies/avalanche/historical-data/,https://coinmarketcap.com/currencies/avalanche/
21,XLM,Stellar,https://coinmarketcap.com/currencies/stellar/historical-data/,https://coinmarketcap.com/currencies/stellar/
22,LINK,Chainlink,https://coinmarketcap.com/currencies/chainlink/historical-data/,https://coinmarketcap.com/currencies/chainlink/
23,BUSD,Binance USD,https://coinmarketcap.com/currencies/binance-usd/historical-data/,https://coinmarketcap.com/currencies/binance-usd/
24,TUSD,TrueUSD,https://coinmarketcap.com/currencies/trueusd/historical-data/,https://coinmarketcap.com/currencies/trueusd/
25,UNI,Uniswap,https://coinmarketcap.com/currencies/uniswap/historical-data/,https://coinmarketcap.com/currencies/uniswap/
26,XMR,Monero,https://coinmarketcap.com/currencies/monero/historical-data/,https://coinmarketcap.com/currencies/monero/
27,OKB,OKB,https://coinmarketcap.com/currencies/okb/historical-data/,https://coinmarketcap.com/currencies/okb/
28,ATOM,Cosmos,https://coinmarketcap.com/currencies/cosmos/historical-data/,https://coinmarketcap.com/currencies/cosmos/
29,ETC,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/historical-data/,https://coinmarketcap.com/currencies/ethereum-classic/
30,HBAR,Hedera,https://coinmarketcap.com/currencies/hedera/historical-data/,https://coinmarketcap.com/currencies/hedera/
